Debt Category
Debt Category
Debt Category,,Amount Outstanding,,,Amount Outstanding,
Debt Category,in USD,in NGN,,,,
A.   External Debt (FGN +States + FCT ),,"22,083.4",,,"6,750,907.61",
.   External Debt (FGN +States + FCT ),,,,,,
B.   Domestic Debt (FGN Only),"39,749.55","12,151,437.66",,,,
C.   Domestic Debt (States + FCT),,,,,,
.   Domestic Debt (States + FCT),"11,374.9","3,477,321.00",,,,
D.  Sub-Total – Domestic Debt (FGN + States + FCT),"51,124.50","15,628,758.66",,,,
E. Total (A+D),,,,,,
. Total (A+D),"73,207.94","22,379,666.27",,,,
A.   External Debt (FGN +States + FCT )
.   External Debt (FGN +States + FCT )
C.   Domestic Debt (States + FCT)
.   Domestic Debt (States + FCT)
