Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nigeria,NGA,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,65000,63000,471000,975000,737000,501000,279000,541000,248000,
Nigeria,NGA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,0.018835939,0.016636167,0.146686225,,0.206581083,0.16889039,,0.056483499,0.281736825,0.064240811,0.026001791,0.001084693,,0.006499234,,,0.005225965,,1.125372653,0.242303508,0.024345253,0.036042379,0.015536125,,,0.014788425,0.00986798,0.001267639,0.009812179,0.017606959,0.021962373,0.12881496,0.17158357,0.240086942,0.210641548,0.142610269,0.104972385,0.005857153,0.028262934,0.005482407,0.003236594,0.004239344,0.004978665,0.003567319,0.001965279,0.005670732,0.007559201,0.030713085,0.030581666,0.026521333,0.029962897,0.016070503,0.013278451,0.093840097,0.017375149,0.018912995,,
Nigeria,NGA,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,181.25,192,163.6363636,155.1724138,154.5454545,143.4782609,70.27027027,72.60273973,60.9375,75.71428571,88.50574713,74.3902439,65.04065041,59.40594059,56.12244898,55.55555556,86.9047619,65.09433962,43.87755102,59.5959596,100,90.6366467,92.18700121,101.6970904,118.6856952,155.4255243,175.1960505,175.8157364,216.450086,153.656094,183.8359041,219.3171691,224.7735193,223.0897046,210.6148292,139.1541887,120.2147433,142.2786387,168.4183097,,
Nigeria,NGA,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,85.28289365,82.42482714,87.22241805,87.76073091,87.27144866,87.16075157,88.08528428,85.50446999,82.41615712,83.61127085,85.88835364,87.62913907,88.71610845,87.66924565,87.05479452,89.83919098,89.37237475,89.3982288,88.95080662,86.65844441,,86.57630177,83.41251079,84.74142493,84.97173583,82.45860346,84.99960621,84.9996062,82.59398846,85.18960143,82.96175706,84.96587786,84.56703019,82.93534072,78.86038616,77.88733109,78.11974542,75.91676389,72.7740032,71.3206502,74.94630893,70.88410381,73.85439986,64.16243601,65.34362584,59.11198492,58.10314639,55.08810817,56.54222909,58.0357346,56.201969,54.90864696,55.90065366,55.82209803,51.43720711,47.2542919,44.87086955,49.43357648,46.72053597,,
Nigeria,NGA,"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.80219,70.00498,70.67404,,70.97585,,,54.36372,55.04464,55.04464,55.04464,60,60.70679,60.76766,52.39804,52.70748,,36.79183,36.86274,,37.46096,37.05309,38.58863,37.44978,,42.23442,39.20902,33.86807,33.80262,,,,
Nigeria,NGA,"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.59039,63.19218,64.23174,,75.18896,,,31.71656,49.50355,49.56907,49.56907,59.17041,58.8764,56.8828,52.6004,56.17406,,32.85297,33.3943,,33.74732,33.671,35.28494,35.94498,,37.30993,43.26121,34.26808,36.81343,,,,
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,15.41,15.633,15.858,16.087,16.318,16.551,16.788,17.027,17.269,17.513,17.76,18.151,18.549,18.952,19.363,19.78,20.205,20.636,21.074,21.518,21.97,22.671,23.389,24.122,24.872,25.635,26.414,27.209,28.019,28.842,29.68,30.176,30.677,31.182,31.691,32.205,32.725,33.247,33.773,34.304,34.84,35.669,36.508,37.356,38.212,39.074,39.943,40.819,41.702,42.588,43.48,44.366,45.246,46.118,46.982,47.838,48.683,49.519,50.344,51.157,
Nigeria,NGA,"Population, total",SP.POP.TOTL,45138458,46063563,47029822,48032934,49066760,50127921,51217973,52342233,53506196,54717039,55982144,57296983,58665808,60114625,61677177,63374298,65221378,67203128,69271917,71361131,73423633,75440502,77427546,79414840,81448755,83562785,85766399,88048032,90395271,92788027,95212450,97667632,100161710,102700753,105293700,107948335,110668794,113457663,116319759,119260063,122283850,125394046,128596076,131900631,135320422,138865016,142538308,146339977,150269623,154324933,158503197,162805071,167228767,171765769,176404902,181137448,185960289,190873311,195874740,200963599,
Nigeria,NGA,"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,2.487878063,2.526673359,2.555560287,2.571224861,2.569665735,2.550262232,2.569144084,2.572318259,2.562847182,2.544057865,2.517829735,2.534009432,2.540046177,2.536728215,2.524782724,2.50512898,2.513164253,2.513361264,2.507327386,2.496947658,2.48381654,2.513024018,2.535736322,2.552219754,2.56279872,2.568218876,2.591071135,2.606205148,2.614217183,2.615523015,2.610892019,2.629016018,2.638076714,2.639167307,2.633107982,2.620765228,2.631218123,2.632410044,2.625801071,2.612768522,2.594459345,2.601138386,2.598532895,2.588131859,2.571741044,2.550730813,2.568315547,2.57863212,2.581661223,2.577287824,2.566094608,2.583800645,2.592859426,2.593482225,2.585520543,2.569802122,2.577402188,2.576663424,2.570559657,2.562118222,
Nigeria,NGA,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,5.63653022,5.60826096,5.588640099,5.575552007,5.566652969,5.560539588,5.53368748,5.514327181,5.501890984,5.495915514,5.494840805,5.478691359,5.468054387,5.461851604,5.458602578,5.45589503,5.433521346,5.423445693,5.422996337,5.427865503,5.434666337,5.402850694,5.368925611,5.328385548,5.276715615,5.212862334,5.13656738,5.057498382,4.985400008,4.933714618,4.908644689,4.893470899,4.903077444,4.928319784,4.956444215,4.979639783,4.985026374,4.991847175,4.999167144,5.006085326,5.012080286,5.001240505,4.991215777,4.987371289,4.997550384,5.024920906,5.053903622,5.099114045,5.154257547,5.21151469,5.265927249,5.310977672,5.354341024,5.394604571,5.43079688,5.461816611,5.478970355,5.494427118,5.505219749,5.507451429,
